date,omega,aG,bG,phi,kz,phi4,delta,kappa
2013-09-17,1.4021897630774518,0.2326299412677473,0.761718315448895,0.9943482567166423,43.54080326979446,3.2908959004255176,-2.2908959004255176,1.2154744850734398
2013-09-22,1.5539721310299135,0.2252722699791763,0.7554517844310441,0.9807240544102204,21.61537611826027,2.008000441734883,-1.008000441734883,1.992031434287962
2014-12-21,1.1912221978944946,0.22888489858323155,0.7357245490474303,0.9646094476306619,50.0,3.4974979296316837,-2.4974979296316837,1.1436747299007648
2014-12-26,1.157151317508595,0.20003082354946766,0.7445749056438515,0.9446057291933192,50.0,2.8528841717488773,-1.8528841717488773,1.4020898708789558
2014-12-31,1.1784942776487424,0.2105674004918353,0.7448791636116587,0.955446564103494,50.0,3.0854710142017314,-2.0854710142017314,1.2963985017486461
2015-01-10,1.2983823599376674,0.2588059562613086,0.7248940730044738,0.9837000292657825,50.0,4.24971137439769,-3.24971137439769,1.0
2015-04-15,3.06857686970091,0.2924663326372701,0.6886309236345985,0.9810972562718687,50.0,5.153843056852611,-4.153843056852611,1.0
2015-04-20,2.3554700760232077,0.2268938000867271,0.698186816875961,0.9250806169626881,50.0,3.378333177252056,-2.378333177252056,1.1840158415794884
2015-04-25,2.2087129912006565,0.21234269114381923,0.7065911002141074,0.9189337913579266,50.0,3.053820818527224,-2.053820818527224,1.3098345442314105
2015-04-30,1.8307355917755004,0.1708148977844022,0.7897409225146882,0.9605558202990904,50.0,2.3523762198601514,-1.3523762198601514,1.7004082791815502
2015-05-05,1.7369518004030786,0.16002528267698513,0.8022605039473292,0.9622857866243143,50.0,2.180790398835776,-1.180790398835776,1.8341973635501223
2015-05-10,1.8905315588458167,0.14961166038125623,0.7809535069622139,0.9305651673434701,50.0,1.962750327852762,-0.962750327852762,2.037956607744388
2015-05-15,2.039620918017649,0.18457286380706658,0.7896520853962601,0.9742249492033267,50.0,2.61840421229338,-1.6184042122933802,1.527648016001518
2015-05-25,1.3983929030233742,0.147594147302557,0.7995111287630638,0.9471052760656209,50.0,1.9644259875318113,-0.9644259875318113,2.0362182262849062
2015-05-30,0.8880958157496024,0.14964555754068568,0.8211270400394909,0.9707725975801765,50.0,2.039695287904034,-1.039695287904034,1.9610772372329943
2015-06-04,1.0186452141666196,0.1534106147615802,0.8082024966098319,0.9616131113714121,50.0,2.07790579531618,-1.07790579531618,1.9250150844260718
2015-06-09,0.7142430940496228,0.1528581279479793,0.8272676001184891,0.9801257280664684,50.0,2.1055611995261043,-1.1055611995261043,1.899731055502103
2015-07-24,0.5395649136180464,0.1764453398136036,0.8201232821934358,0.9965686220070393,50.0,2.518663957523974,-1.518663957523974,1.5881435822555243
2015-09-07,0.26617018109731677,0.0666691772038241,0.9259440033164702,0.9926131805202943,50.0,1.2030751064053244,-0.20307510640532445,3.3248132046814804
2015-09-12,0.23772346072111708,0.043942499311070284,0.9280793050461174,0.9720218043571877,50.0,1.0394426071852698,-0.03944260718526982,3.8482163155036435
2015-09-17,0.2831326372219514,0.05243075511684997,0.9228820852463161,0.9753128403631661,50.0,1.085935356601298,-0.08593535660129792,3.6834605077405205
2015-09-22,0.3196154079342052,0.05775313969918008,0.899542441933993,0.9572955816331731,50.0,1.0798506627249327,-0.07985066272493269,3.7042159051014156
2015-09-27,0.13244866342466538,0.06999640230303937,0.9142027470862153,0.9841991493892547,50.0,1.2087232860916104,-0.2087232860916104,3.3092768593330764
2015-10-02,0.14758662154884472,0.07287682032805029,0.912229582145361,0.9851064024734113,50.0,1.2306751403093257,-0.23067514030932568,3.2502484766163513
2015-10-07,0.1642268001981289,0.07564845363606415,0.9075052592702945,0.9831537129063586,50.0,1.2470029615404181,-0.24700296154041812,3.2076908582950074
2015-10-12,0.15032924729305758,0.08400529086121289,0.9022727100330105,0.9862780008942234,50.0,1.3185318507890775,-0.31853185078907753,3.033677189979289
2015-10-17,0.2511027133240793,0.0920428053328693,0.8937672330015527,0.985810038334422,50.0,1.386943454344594,-0.386943454344594,2.8840397115470124
2015-10-22,0.2798192809072472,0.0766999672766214,0.8813429446669274,0.9580429119435488,50.0,1.2061075851567793,-0.2061075851567793,3.3164537303527934
2015-10-27,0.3009895190770793,0.08189367577419257,0.8732185066661576,0.9551121824403502,50.0,1.240861413504589,-0.240861413504589,3.2235670772473473
2015-11-01,0.41569798124294677,0.11342104777537954,0.840906894488986,0.9543279422643656,50.0,1.5410941912313199,-0.5410941912313199,2.5955584173632094
2015-11-06,0.45268472669688636,0.16954648643138145,0.7972541969069137,0.9668006833382952,50.0,2.3432581033034987,-1.3432581033034987,1.7070249301008904
2015-11-11,0.4052890189583591,0.19036014168587748,0.8055361538442442,0.9958962955301216,50.0,2.7674216250413193,-1.7674216250413193,1.4453887198848052
2015-11-16,0.3876262448628881,0.1976020549488779,0.794078641661493,0.9916806966103708,50.0,2.896712637910579,-1.896712637910579,1.380875668387055
2015-11-21,0.5125588493336152,0.21211120175514145,0.7612200828845205,0.9733312846396619,50.0,3.1519407232488,-2.1519407232488,1.2690593990222887
2015-11-26,0.8404948528938256,0.2681315332554728,0.6568363550065096,0.9249678882619824,50.0,4.378397031486436,-3.378397031486436,1.0
2015-12-01,0.7236017338905648,0.2527498058868592,0.6882917786185591,0.9410415845054183,50.0,4.015800018184874,-3.0158000181848736,1.0
2015-12-06,0.6360169212460779,0.24992060491964568,0.7107573552220657,0.9606779601417115,50.0,3.983457272508719,-2.983457272508719,1.004152856767273
2015-12-11,0.6988133358228478,0.25538585012027526,0.7063792641837672,0.9617651143040424,50.0,4.120866824733397,-3.1208668247333966,1.0
2015-12-16,0.47819620735375995,0.2267652993378363,0.7581093231714159,0.9848746225092522,50.0,3.4896805702678884,-2.4896805702678884,1.1462367169304946
2015-12-21,0.5069942835528933,0.22795452243164346,0.7502488954640214,0.9782034178956649,50.0,3.503081877337654,-2.503081877337654,1.141851700891446
2015-12-26,0.7052969434364179,0.26925302849089905,0.7242520926081748,0.9935051210990739,50.0,4.539414899874609,-3.5394148998746093,1.0
2015-12-31,0.6388218621837629,0.24365730078519035,0.7444174097422982,0.9880747105274885,50.0,3.8853667646542918,-2.8853667646542918,1.0295038389653564
2016-01-05,1.0832872590406177,0.323381140293317,0.6666005810361425,0.9899817213294595,50.0,6.104256541539332,-5.104256541539332,1.0
2016-03-05,1.666397420005464,0.2580149639766193,0.7088945793949428,0.9669095433715622,50.0,4.196928425219955,-3.196928425219955,1.0
2017-11-10,1.065827949557875,0.22217576221905616,0.7748688372162307,0.9970445994352868,26.985580037269923,2.276799936321315,-1.2767999363213152,1.7568517708511993
2017-11-25,1.1618983788744683,0.22916163985621008,0.7539929002089394,0.9831545400651495,13.117016302957357,1.6029186536707472,-0.6029186536707472,2.4954479073781077
2017-11-30,0.9758921901721277,0.20292859318920306,0.7880851621168127,0.9910137553060158,22.205908923884532,1.8553678881691105,-0.8553678881691105,2.1559066670854303
2017-12-05,0.7375016956811528,0.1763712057211667,0.8205980297354301,0.9969692354565968,15.155519712467521,1.434280608287545,-0.434280608287545,2.7888545497214716
2017-12-20,1.183558844047364,0.19138439865183976,0.807328996231583,0.9987133948834228,50.0,2.7921998594385617,-1.7921998594385617,1.432562209498963
2017-12-30,2.486542515114183,0.16394485332225586,0.7732415247828863,0.9371863781051422,14.083402005079966,1.2299728734045645,-0.22997287340456452,3.2521042426960207
