date,omega,aG,bG,phi,kz,phi4,delta,kappa
1996-08-13,0.7358308019578115,0.23429330055638733,0.7147274710047209,0.9490207715611082,8.250779577990386,1.2986600109730952,-0.29866001097309525,3.0800979210892705
1996-08-22,0.6284256491330277,0.19604250130743678,0.7771496301797122,0.973192131487149,23.266177350397772,1.8028514000285507,-0.8028514000285507,2.218707542915991
1996-08-29,0.3696718694765064,0.10276718581617696,0.87624100242932,0.979008188245497,50.0,1.475950662199986,-0.47595066219998605,2.7101176905451427
1996-09-05,0.381337960643234,0.09454384825271057,0.8835773778667275,0.9781212261194381,50.0,1.3947095558645395,-0.3947095558645395,2.867980636671352
1996-09-12,0.47004243211549185,0.09860149739343478,0.8709319920984829,0.9695334894919178,50.0,1.4163856963695234,-0.4163856963695234,2.8240895190150472
1996-09-19,0.6476476820639065,0.10426540783739029,0.8504271581916679,0.9546925660290582,50.0,1.4441303839345165,-0.44413038393451654,2.769833004345526
1996-09-26,2.9857959533465577,0.28537033069406315,0.4625020169272052,0.7478723476212683,11.386976323367735,1.4051891959282192,-0.4051891959282192,2.8465917696995517
1996-10-03,2.929306424183069,0.2603653420457152,0.48310553506104975,0.743470877106765,10.927909405324137,1.2257630290521837,-0.2257630290521837,3.2632734918534654
1996-10-10,3.145643582392508,0.24118061993303155,0.47176214879137773,0.7129427687244093,8.739378479186108,0.9584722664750158,0.04152773352498418,4.173308023518349
1996-10-17,2.705720851189348,0.258824759710164,0.5054331549474926,0.7642579146576567,12.211704758627725,1.3351651347736273,-0.3351651347736273,2.9958841013910886
1996-10-25,2.3777415096904355,0.28199504072671105,0.5157394758266503,0.7977345165533614,11.879337039406707,1.501518328056427,-0.501518328056427,2.663970146256969
1996-11-01,0.34083290290189805,0.13168142957051235,0.8487306089077766,0.980412038478289,50.0,1.8108677109861104,-0.8108677109861104,2.208885815199496
1996-11-15,0.28688425812683743,0.1446539336421795,0.852292157048409,0.9969460906905885,50.0,2.0192147731328944,-1.0192147731328944,1.9809680739378883
1996-11-22,0.38399007676585145,0.15520622793399028,0.8365180160797943,0.9917242440137846,50.0,2.163876662450102,-1.163876662450102,1.848534193012139
1997-01-07,0.17208989397297644,0.0821616503608129,0.9015544342071923,0.9837160845680052,47.469113170443904,1.281388793094141,-0.281388793094141,3.1216130666644033
1997-01-14,0.20613189052896694,0.10393710057097497,0.8807312226386962,0.9846683232096711,16.77768350692056,1.1400167732501938,-0.1400167732501938,3.5087203046986573
1997-02-04,0.27962586985590865,0.14339313313730453,0.8509045601333295,0.994297693270634,50.0,1.9961458437590083,-0.9961458437590083,2.0038615978417025
1997-02-11,0.42180785934437226,0.1697335258859116,0.8153197101802132,0.9850532360661248,50.0,2.3819938985578526,-1.3819938985578526,1.6792654265074938
1997-02-18,0.3488653136455353,0.1463469010029118,0.8408878344844594,0.9872347354873712,50.0,2.024085779177467,-1.024085779177467,1.9762008315801174
1997-02-25,0.432566822156771,0.1567621428685276,0.8207430750658494,0.9775052179343771,50.0,2.159660553488834,-1.159660553488834,1.8521429182647156
1997-03-04,0.495968215158008,0.16352843256440264,0.8166805024004964,0.980208934964899,50.0,2.2711454207765702,-1.2711454207765702,1.7612258393530276
1997-03-11,0.5813862900981094,0.17985226035198518,0.7947068355809092,0.9745590959328944,50.0,2.534760373597735,-1.5347603735977349,1.578058439631737
1997-03-18,0.5693359229091299,0.17562647226711353,0.794374858663194,0.9700013309303075,50.0,2.4522908122951366,-1.4522908122951366,1.63112791514981
1997-03-25,0.5490453635707723,0.1778166663515918,0.7947716745290919,0.9725883408806837,50.0,2.495247655604314,-1.495247655604314,1.6030472931278064
1997-04-02,0.5350349854837091,0.20313272626271192,0.7906232159367474,0.9937559421994594,50.0,3.009433192123906,-2.009433192123906,1.3291539451576933
1997-04-09,0.6155071312019905,0.20271060701484533,0.7823110504292031,0.9850216574440485,50.0,2.9837555852538467,-1.9837555852538467,1.3405923795395913
1997-04-16,0.45504744039847345,0.17154318874444358,0.8143761470158767,0.9859193357603202,50.0,2.413963151252049,-1.413963151252049,1.657026122343799
1997-04-23,0.4962218040158931,0.17853483153156663,0.8058403909525456,0.9843752224841122,50.0,2.530854196070884,-1.5308541960708841,1.5804940506687206
1997-04-30,0.4226500400304196,0.1991788101431801,0.7953515038599727,0.9945303140031527,50.0,2.933028267563806,-1.933028267563806,1.3637781961516615
1997-06-16,0.2721589535997623,0.19157129273788012,0.8051358166029376,0.9967071093408177,50.0,2.7917035116723943,-1.7917035116723943,1.4328169102756063
1997-07-14,0.2875832084580696,0.1745429624790493,0.8079156657982599,0.9824586282773092,34.00118716032073,1.9706142331892216,-0.9706142331892216,2.029823966878815
1997-07-21,0.2826700499984355,0.17793770569034573,0.8153976866826482,0.993335392372994,50.0,2.5381447299516706,-1.5381447299516706,1.5759542601324255
1997-07-28,0.3033564509565593,0.17959526146370958,0.8109438924776806,0.9905391539413901,50.0,2.5616362545616176,-1.5616362545616176,1.5615019473889102
1997-08-04,0.2932722710651067,0.17451853610017412,0.8062627738832022,0.9807813099833763,36.80376297080916,2.052397141802123,-1.052397141802123,1.9489405430022035
1997-08-11,0.32154532423242543,0.18569850035417626,0.8039210915706692,0.9896195919248454,50.0,2.6690596553772075,-1.6690596553772075,1.4986551506787869
1997-08-18,0.31818696363663634,0.19214872869037364,0.8037235575126762,0.9958722862030498,50.0,2.8008971733563035,-1.8008971733563035,1.428113833685232
1997-08-26,0.29699049990523757,0.18410873364644498,0.8010178835118741,0.9851266171583191,22.91297079723562,1.71323707543886,-0.71323707543886,2.3347615209502552
1997-09-02,0.2894357951891751,0.20388708421150045,0.785718057226113,0.9896051414376135,10.212423432130372,1.3622782539226885,-0.36227825392268853,2.9362576907338687
1997-09-09,0.2811954209254639,0.196937516583513,0.7873826532565114,0.9843201698400244,9.433710080419896,1.2959824591859328,-0.2959824591859328,3.0864615270430336
1997-09-16,0.3080125796660228,0.21710433314483474,0.7690353358149935,0.9861396689598283,11.473136318844443,1.466115306556415,-0.466115306556415,2.7282983692429537
1997-09-30,0.29029414076244764,0.2453335435023307,0.7534200087790452,0.998753552281376,14.90733658053935,1.834571047508441,-0.8345710475084409,2.1803461934235044
1998-03-11,0.6428808003531853,0.34596938097165364,0.6503002670752878,0.9962696480469414,28.97955594599677,4.341560916364949,-3.3415609163649487,1.0
1998-03-18,0.6527369652354996,0.3592138641349685,0.6365630877492401,0.9957769518842086,25.28300090464686,4.124919050970023,-3.124919050970023,1.0
1998-03-25,0.793504879616724,0.3533660480196181,0.6226710221163501,0.9760370701359682,50.0,7.071158993036753,-6.071158993036753,1.0
