date,omega,aG,bG,phi,kz,phi4,delta,kappa
1960-10-04,0.13186169654076663,0.3033376589190674,0.6340604127127524,0.9373980716318198,3.94672615350411,1.1498544250436844,-0.1498544250436844,3.4787012276341285
1960-10-11,0.13370083861297563,0.31431575298908065,0.6256853215943758,0.9400010745834565,3.8341827165174918,1.1636033801488932,-0.1636033801488932,3.437597439333809
1960-10-18,0.14678583372711546,0.3368173598889903,0.5894114653183002,0.9262288252072906,3.8583185754634526,1.182164456886615,-0.18216445688661498,3.383623976087493
1960-10-25,0.1634951504239547,0.2991916536733854,0.6039613162784891,0.9031529699518746,4.125167654225651,1.0954366873960648,-0.09543668739606481,3.651511808964788
1960-11-01,0.17424036549464053,0.31610049760574627,0.5788783140363376,0.8949788116420838,3.775062400419027,1.078269989036296,-0.0782699890362959,3.7096460447489603
1960-11-08,0.14381856768986764,0.30124704077799347,0.6136197769617611,0.9148668177397545,3.7822726022012296,1.089471919575539,-0.0894719195755389,3.671503531324066
1960-11-15,0.1701302139512005,0.2851950278002487,0.6120248770548913,0.8972199048551399,3.989008162766332,1.048118134999945,-0.048118134999945106,3.816363696445544
1960-11-23,0.18928025230490844,0.30402096203454126,0.5859965295079296,0.8900174915424708,3.8185921650235013,1.0526500727360761,-0.05265007273607614,3.799933238595703
1960-11-30,0.16907991919343607,0.28206265055229796,0.6195271227805808,0.9015897733328787,3.930030116651803,1.0459753782305392,-0.04597537823053921,3.824181795528246
1960-12-07,0.17472869700708793,0.2660688383617265,0.6292667109760568,0.8953355493377833,3.9029427700298456,1.0071326898950757,-0.00713268989507565,3.971671300250144
1960-12-14,0.1876997073736045,0.2605586222501219,0.6225007122136709,0.8830593344637927,3.8591038578934835,0.9739006238816303,0.026099376118369655,4.107195233182402
1960-12-21,0.1981690458269751,0.26119576556484253,0.6182159187519691,0.8794116843168116,3.660663354896764,0.9548839530696157,0.04511604693038429,4.188990701059965
1960-12-28,0.18500406727325028,0.27060505076217617,0.6147298666624508,0.885334917424627,3.3767359121942415,0.957859378873573,0.042140621126427025,4.175978320224765
1961-01-05,0.17725689230323344,0.25137134609945305,0.6361015330924246,0.8874728791918776,3.432392310942903,0.9413050309219868,0.05869496907801319,4.24941954902981
1961-01-12,0.17149419165881205,0.24779163771750892,0.6396385870845405,0.8874302248020494,3.4887479206948733,0.9403432577013668,0.05965674229863316,4.253765810771959
